Date,USGG10YR Index  (R1),GDGCAFJP Index  (L1)
2018-12-04,2.9136,2.709
2018-12-06,2.8955,2.664
2018-12-07,2.845,2.383
2018-12-11,2.879,2.437
2018-12-12,2.9096,2.426
2018-12-13,2.9131,2.5
2018-12-14,2.8895,2.995
2018-12-18,2.8175,2.921
2018-12-19,2.7548,2.972
2018-12-21,2.7902,2.714
2019-01-03,2.5535,2.587
2019-01-04,2.6677,2.793
2019-01-07,2.696,2.794
2019-01-10,2.7421,2.794
2019-01-11,2.7007,2.797
2019-01-15,2.7112,2.815
2019-01-16,2.7218,2.788
2019-01-18,2.7842,2.795
2019-01-22,2.7392,2.722
2019-01-31,2.6293,2.695
2019-02-01,2.6842,2.49
2019-02-04,2.7235,2.396
2019-02-05,2.6983,2.396
2019-02-06,2.6946,2.733
2019-02-12,2.6877,2.663
2019-02-13,2.7021,2.585
2019-02-14,2.6536,1.525
2019-02-21,2.6914,1.417
2019-02-25,2.6626,1.856
2019-02-26,2.6357,1.798
2019-02-27,2.6825,1.847
2019-03-01,2.7531,0.343
2019-03-04,2.7223,0.267
2019-03-05,2.7169,0.534
2019-03-06,2.6934,0.522
2019-03-08,2.6285,0.476
2019-03-11,2.6393,0.17
2019-03-12,2.6015,0.17
2019-03-13,2.6213,0.382
2019-03-14,2.6303,0.369
2019-03-15,2.5871,0.465
2019-03-19,2.6123,0.619
2019-03-22,2.439,1.226
2019-03-25,2.3983,1.254
2019-03-26,2.423,1.278
2019-03-27,2.3665,1.534
2019-03-29,2.405,1.707
2019-04-01,2.5009,2.126
2019-04-02,2.4741,2.074
2019-04-03,2.5241,2.138
2019-04-05,2.4954,2.178
2019-04-08,2.5222,2.273
2019-04-10,2.4649,2.185
2019-04-11,2.497,2.204
2019-04-12,2.5651,2.252
2019-04-16,2.5904,2.27
2019-04-17,2.594,2.426
2019-04-18,2.5596,2.789
2019-04-22,2.5885,2.719
2019-04-23,2.565,2.669
2019-04-25,2.5325,2.671
2019-04-29,2.5252,1.252
2019-05-01,2.4999,1.217
2019-05-02,2.5414,0.914
2019-05-03,2.525,1.668
2019-05-09,2.4423,1.575
2019-05-10,2.4672,1.56
2019-05-14,2.4104,1.56
2019-05-15,2.3732,1.087
2019-05-16,2.3944,1.165
2019-05-21,2.4264,1.183
2019-05-23,2.3185,1.278
2019-05-24,2.3202,1.261
2019-05-30,2.2133,1.174
2019-05-31,2.1246,1.165
2019-06-03,2.071,1.256
2019-06-04,2.1296,1.442
2019-06-05,2.1348,1.498
2019-06-06,2.1174,1.474
2019-06-07,2.0809,1.387
2019-06-11,2.1431,1.403
2019-06-12,2.1205,1.474
2019-06-13,2.0945,1.455
2019-06-14,2.0804,2.052
2019-06-18,2.0595,2.048
2019-06-21,2.054,2.085
2019-06-25,1.985,2.027
2019-06-26,2.0468,1.882
2019-06-28,2.0051,1.496
2019-07-01,2.024,1.47
2019-07-03,1.9498,1.309
2019-07-05,2.0338,1.414
2019-07-10,2.0613,1.398
2019-07-11,2.1378,1.23
2019-07-12,2.1219,1.276
2019-07-16,2.1026,1.603
2019-07-17,2.0451,1.605
2019-07-23,2.0812,1.59
2019-07-24,2.0428,1.566
2019-07-25,2.081,1.333
2019-07-30,2.058,1.964
2019-08-01,1.8935,2.225
2019-08-02,1.8452,1.939
2019-08-05,1.7075,1.879
2019-08-08,1.7172,1.945
2019-08-09,1.7447,1.939
2019-08-12,1.6454,1.847
2019-08-13,1.7035,1.846
2019-08-14,1.5792,1.843
2019-08-15,1.5269,2.159
2019-08-16,1.5538,2.228
2019-08-21,1.5893,2.312
2019-08-23,1.5351,2.269
2019-08-26,1.5351,2.265
2019-08-30,1.4961,2.042
2019-09-03,1.4573,1.682
2019-09-04,1.4657,1.467
2019-09-05,1.5586,1.685
2019-09-06,1.5602,1.833
2019-09-11,1.7385,1.877
2019-09-12,1.7715,1.827
2019-09-13,1.8958,1.805
2019-09-17,1.8013,1.867
2019-09-18,1.7961,1.935
2019-09-19,1.784,1.931
2019-09-25,1.7372,2.005
2019-09-27,1.6801,2.108
2019-10-01,1.6353,1.779
2019-10-02,1.5992,1.839
2019-10-03,1.5341,1.752
2019-10-04,1.529,1.762
